threat,response
Business Email Compromise via USB targeting Financial Systems,Verify transfer requests. Use dual control.
Phishing Email via Email targeting Financial Systems,Do not click links. Report email. Run antivirus scan.
Drive-by Download via Cloud targeting Financial Systems,Block malicious sites. Scan devices.
Keylogger Infection on Mobile targeting IoT Devices,Detect and remove keyloggers. Change passwords.
Man-in-the-Middle via USB targeting IoT Devices,Use encryption. Validate certificates.
Spear Phishing on Mobile targeting Customer Data,Verify sender identity. Educate users. Use email filters.
Insider Threat on Mobile targeting Internal Network,Monitor user activity. Enforce least privilege.
Social Engineering via Email targeting Financial Systems,User training. Verification procedures.
Malware Infection via Web App targeting Internal Network,Run antivirus. Remove malware. Update definitions.
Data Exfiltration on Windows targeting Employee Accounts,Monitor data flows. Encrypt sensitive data.
Business Email Compromise via Cloud targeting Employee Accounts,Verify transfer requests. Use dual control.
Password Spraying on Windows targeting IoT Devices,Monitor logins. Enforce MFA and lockouts.
Data Exfiltration on Linux targeting Customer Data,Monitor data flows. Encrypt sensitive data.
Password Spraying on Mobile targeting Customer Data,Monitor logins. Enforce MFA and lockouts.
Insider Threat on Mobile targeting Customer Data,Monitor user activity. Enforce least privilege.
Drive-by Download via Network targeting Financial Systems,Block malicious sites. Scan devices.
Man-in-the-Middle via Web App targeting Customer Data,Use encryption. Validate certificates.
DNS Spoofing via Email targeting Customer Data,Use DNSSEC. Monitor DNS traffic.
DNS Spoofing via Web App targeting Customer Data,Use DNSSEC. Monitor DNS traffic.
Keylogger Infection via Web App targeting Employee Accounts,Detect and remove keyloggers. Change passwords.
Social Engineering via Web App targeting Employee Accounts,User training. Verification procedures.
Spear Phishing via Network targeting Employee Accounts,Verify sender identity. Educate users. Use email filters.
Credential Stuffing on Mobile targeting IoT Devices,Detect anomalies. Enforce MFA.
DNS Spoofing via USB targeting Financial Systems,Use DNSSEC. Monitor DNS traffic.
DNS Spoofing via Network targeting IoT Devices,Use DNSSEC. Monitor DNS traffic.
Phishing Email on Mobile targeting Financial Systems,Do not click links. Report email. Run antivirus scan.
Password Spraying on Windows targeting Employee Accounts,Monitor logins. Enforce MFA and lockouts.
Malware Infection on Mobile targeting Internal Network,Run antivirus. Remove malware. Update definitions.
Insider Threat on Linux targeting Employee Accounts,Monitor user activity. Enforce least privilege.
Data Exfiltration on Mobile targeting Customer Data,Monitor data flows. Encrypt sensitive data.
Phishing Email via Web App targeting Employee Accounts,Do not click links. Report email. Run antivirus scan.
Man-in-the-Middle via Email targeting Employee Accounts,Use encryption. Validate certificates.
Cross-Site Scripting (XSS) on Linux targeting Customer Data,Sanitize user inputs. Use CSP headers.
Data Exfiltration via Cloud targeting Employee Accounts,Monitor data flows. Encrypt sensitive data.
Keylogger Infection via Web App targeting Financial Systems,Detect and remove keyloggers. Change passwords.
Zero-Day Exploit via Network targeting Internal Network,Apply patches promptly. Use behavior detection.
Phishing Email via Cloud targeting Customer Data,Do not click links. Report email. Run antivirus scan.
DDoS Attack via Email targeting Employee Accounts,Monitor traffic. Use mitigation tools. Contact ISP.
SQL Injection via USB targeting IoT Devices,Validate inputs. Use prepared statements.
Zero-Day Exploit on Mobile targeting Employee Accounts,Apply patches promptly. Use behavior detection.
DDoS Attack on Mobile targeting Employee Accounts,Monitor traffic. Use mitigation tools. Contact ISP.
Phishing Email on Linux targeting Customer Data,Do not click links. Report email. Run antivirus scan.
Privilege Escalation via Email targeting Financial Systems,Patch vulnerabilities. Enforce access controls.
Cross-Site Scripting (XSS) via Network targeting Customer Data,Sanitize user inputs. Use CSP headers.
Drive-by Download via Network targeting Customer Data,Block malicious sites. Scan devices.
Password Spraying via Network targeting Employee Accounts,Monitor logins. Enforce MFA and lockouts.
Social Engineering on Mobile targeting Internal Network,User training. Verification procedures.
Spear Phishing on Linux targeting Financial Systems,Verify sender identity. Educate users. Use email filters.
Insider Threat on Mobile targeting IoT Devices,Monitor user activity. Enforce least privilege.
Password Spraying via Cloud targeting Financial Systems,Monitor logins. Enforce MFA and lockouts.
Keylogger Infection via Network targeting Customer Data,Detect and remove keyloggers. Change passwords.
Phishing Email via Network targeting Internal Network,Do not click links. Report email. Run antivirus scan.
DNS Spoofing via Cloud targeting Customer Data,Use DNSSEC. Monitor DNS traffic.
Man-in-the-Middle on Mobile targeting Customer Data,Use encryption. Validate certificates.
Business Email Compromise on Windows targeting Employee Accounts,Verify transfer requests. Use dual control.
Social Engineering via Cloud targeting IoT Devices,User training. Verification procedures.
Password Spraying via Cloud targeting Customer Data,Monitor logins. Enforce MFA and lockouts.
Privilege Escalation on Mobile targeting Financial Systems,Patch vulnerabilities. Enforce access controls.
Spear Phishing via USB targeting Customer Data,Verify sender identity. Educate users. Use email filters.
Malware Infection via Cloud targeting Internal Network,Run antivirus. Remove malware. Update definitions.
Social Engineering on Windows targeting Customer Data,User training. Verification procedures.
Password Spraying via Network targeting Customer Data,Monitor logins. Enforce MFA and lockouts.
Insider Threat via Web App targeting IoT Devices,Monitor user activity. Enforce least privilege.
Phishing Email on Windows targeting Financial Systems,Do not click links. Report email. Run antivirus scan.
Password Spraying via USB targeting Financial Systems,Monitor logins. Enforce MFA and lockouts.
Keylogger Infection on Mobile targeting Employee Accounts,Detect and remove keyloggers. Change passwords.
Malware Infection on Linux targeting Customer Data,Run antivirus. Remove malware. Update definitions.
Cross-Site Scripting (XSS) on Linux targeting Internal Network,Sanitize user inputs. Use CSP headers.
DDoS Attack via Email targeting Internal Network,Monitor traffic. Use mitigation tools. Contact ISP.
Malicious Insider on Linux targeting Employee Accounts,Implement segregation of duties.
Insider Threat via USB targeting IoT Devices,Monitor user activity. Enforce least privilege.
Malicious Insider on Mobile targeting Customer Data,Implement segregation of duties.
Zero-Day Exploit on Windows targeting Internal Network,Apply patches promptly. Use behavior detection.
Ransomware Attack on Windows targeting Employee Accounts,Isolate systems. Do not pay ransom. Restore backups.
Zero-Day Exploit via Cloud targeting Customer Data,Apply patches promptly. Use behavior detection.
Phishing Email on Mobile targeting IoT Devices,Do not click links. Report email. Run antivirus scan.
Privilege Escalation via USB targeting IoT Devices,Patch vulnerabilities. Enforce access controls.
Social Engineering on Mobile targeting Customer Data,User training. Verification procedures.
DNS Spoofing via Network targeting Customer Data,Use DNSSEC. Monitor DNS traffic.
Credential Stuffing via USB targeting Financial Systems,Detect anomalies. Enforce MFA.
Credential Stuffing via USB targeting Customer Data,Detect anomalies. Enforce MFA.
Business Email Compromise on Linux targeting Financial Systems,Verify transfer requests. Use dual control.
Ransomware Attack via Email targeting Employee Accounts,Isolate systems. Do not pay ransom. Restore backups.
Zero-Day Exploit on Linux targeting Financial Systems,Apply patches promptly. Use behavior detection.
Social Engineering via Network targeting Customer Data,User training. Verification procedures.
Business Email Compromise on Windows targeting Internal Network,Verify transfer requests. Use dual control.
Phishing Email via Web App targeting Internal Network,Do not click links. Report email. Run antivirus scan.
Data Exfiltration via Cloud targeting Customer Data,Monitor data flows. Encrypt sensitive data.
Ransomware Attack on Linux targeting Employee Accounts,Isolate systems. Do not pay ransom. Restore backups.
Zero-Day Exploit on Mobile targeting IoT Devices,Apply patches promptly. Use behavior detection.
Spear Phishing on Mobile targeting Internal Network,Verify sender identity. Educate users. Use email filters.
Spear Phishing via Cloud targeting Customer Data,Verify sender identity. Educate users. Use email filters.
Man-in-the-Middle via USB targeting Financial Systems,Use encryption. Validate certificates.
SQL Injection via Email targeting Employee Accounts,Validate inputs. Use prepared statements.
Drive-by Download on Mobile targeting Internal Network,Block malicious sites. Scan devices.
DNS Spoofing via Cloud targeting Financial Systems,Use DNSSEC. Monitor DNS traffic.
Privilege Escalation via Email targeting Employee Accounts,Patch vulnerabilities. Enforce access controls.
DNS Spoofing on Linux targeting Customer Data,Use DNSSEC. Monitor DNS traffic.
DNS Spoofing via USB targeting Employee Accounts,Use DNSSEC. Monitor DNS traffic.
Insider Threat via Cloud targeting Employee Accounts,Monitor user activity. Enforce least privilege.
DDoS Attack via Web App targeting Customer Data,Monitor traffic. Use mitigation tools. Contact ISP.
Data Exfiltration via Web App targeting Customer Data,Monitor data flows. Encrypt sensitive data.
Business Email Compromise via USB targeting IoT Devices,Verify transfer requests. Use dual control.
Malware Infection via Network targeting Financial Systems,Run antivirus. Remove malware. Update definitions.
Cross-Site Scripting (XSS) via Cloud targeting Employee Accounts,Sanitize user inputs. Use CSP headers.
Ransomware Attack on Linux targeting Financial Systems,Isolate systems. Do not pay ransom. Restore backups.
Privilege Escalation on Linux targeting Employee Accounts,Patch vulnerabilities. Enforce access controls.
Privilege Escalation via Web App targeting Internal Network,Patch vulnerabilities. Enforce access controls.
